 "ETL_DATE","BR_CODE","BR_NAME","REGION_CODE","REGION_NAME"
20180329,BO-HO-VHH040000,Phòng Mua s?m T?p trung,,
20180329,BO-HO-VHH160700,Phòng H? tr? tín d?ng Ngân hàng Cá nhân mi?n Nam,,
20180329,BO-HO-VHH180000,Trung tâm Ð?m b?o Ch?t lu?ng,,
20180329,BTT060100,Ban Giám d?c,,
20180329,CNT17000,Phòng Tích h?p ?ng d?ng,,
20180329,FO-CB-TDC010000,Ban Giám d?c,,
20180329,FO-CN-BCH010000,Ban Giám d?c,,
20180329,FO-CN-BDG010000,Ban Giám d?c,,
20180329,FO-CN-BHA010000,Ban Giám d?c,,
20180329,FO-CN-BT020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-CHA040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-CLG040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-CTG040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-DAN04,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-DDO040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-DNI020000,Phòng D?ch v? Khách hàng,,
20180329,"218",TRUNG TAM KINH DOANH PHU MY HUNG,,
20180329,"906",TTGD TU DONG LIVEBANK VUNG TAU,,
20180329,"913",TTGD TU DONG LIVEBANK HA NOI HKM,,
20180329,FO-CN-GDH020000,Phòng D?ch v? Khách hàng,,
20180329,"831",TPBANK BIEN HOA,MOT,Miền Trung
20180329,"920",TTGD TU DONG LIVEBANK HCM PDL,,
20180329,"217",TRUNG TAM KINH DOANH CUU LONG,,
20180329,"062",PHONG KINH DOANH KV HA DONG,,
20180329,"209",TRUNG TAM KINH DOANH HO CHI MINH,,
20180329,"351",TPBANK TO HIEU,NOR,Miên Bắc
20180329,"088",NGAN HANG CA NHAN,,
20180329,"097",BIG CORP FI,,
20180329,"286",TRUNG TAM BAN MIEN NAM 2,,
20180329,"095",NGAN HANG DOANH NGHIEP,,
20180329,"022",TPBANK HO GUOM 1,NOR,Miên Bắc
20180329,"013",TPBANK NAM HA NOI 1,NOR,Miên Bắc
20180329,"039",TPBANK THANH DO,NOR,Miên Bắc
20180329,TNG,NGAN HANG TPBANK KHU VUC MIEN TRUNG,,
20180329,"090",TRUNG TAM KHCC MIEN NAM,,
20180329,"079",TRUNG TAM KINH DOANH TAY HA NOI,,
20180329,"083",TRUNG TAM BAN MIEN NAM 3,,
20180329,"048",TRUNG TAM KINH DOANH CAU GIAY,,
20180329,"077",PHONG KINH DOANH KV THC,,
20180329,"107",PHONG KINH DOANH KV VINH PHUC,,
20180329,"352",TRUNG TAM KINH DOANH TO HIEU,,
20180329,"320",TPBANK NAM DINH,,
20180329,"332",TPBANK CAM PHA,NOR,Miên Bắc
20180329,"921",TTGD TU DONG LIVEBANK HCM HMN,,
20180329,"105",PHONG KINH DOANH KV LBN,,
20180329,AGG050200,B? ph?n H? tr? Tín d?ng,,
20180329,BO-CN-BNH05,Phòng V?n hành,,
20180329,FO-CN-HCM020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-HKM020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-HMN020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-HPG020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-HVG020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-KGG040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-LDM040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-MDH040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-NGA040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-NOH040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-PDL040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-PMH040000,Phòng Khách hàng Doanh nghi?p,,
20180329,BO-CN-AGG050000,Phòng V?n hành,,
20180329,BO-CN-BTH050000,Phòng V?n hành,,
20180329,BO-CN-DDO050000,Phòng V?n hành,,
20180329,BO-CN-HGM050000,Phòng V?n hành,,
20180329,BO-CN-KD.HTH02,Phòng V?n hành,,
20180329,BO-CN-NHN050000,Phòng V?n hành,,
20180329,BO-CN-QNH050000,Phòng V?n hành,,
20180329,BO-CN-THC050000,Phòng V?n hành,,
20180329,BO-CN-TTKDBHA02,Phòng V?n hành,,
20180329,BO-CN-TTKDDDA02,Phòng V?n hành,,
20180329,BO-CN-TTKDQNH02,Phòng V?n hành,,
20180329,BO-CN-otoHCM04,Phòng V?n hành,,
20180329,BO-HO-BKS010100,Ban Giám d?c,,
20180329,BO-HO-BTT020000,B? ph?n H? tr? bán,,
20180329,BO-HO-HRBPFC,Phòng Ð?i tác Nhân s? (Finco),,
20180329,BO-HO-KCN060000,Phòng S?n ph?m Th?,,
20180329,BO-HO-KCN170000,D? án Digital Bank,,
20180329,BO-HO-KDN080000,B? ph?n Qu?n lý bán,,
20180329,FO-CN-QNH030000,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-STY030000,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-TDC040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-THA040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-THN030000,Phòng Khách hàng Cá nhân,,
20180329,FO-CN-TLG020000,Phòng D?ch v? Khách hàng,,
20180329,FO-CN-TT.BTAH01,Ban Giám d?c,,
20180329,FO-CN-TTKD.HSO000000,Trung tâm Kinh doanh H?i s?,,
20180329,FO-CN-HNI040000,Phòng Khách hàng Doanh nghi?p,,
20180329,FO-CN-HTH040000,Phòng Khách hàng Doanh nghi?p,,
